id,contenidos
IFI0402,"
& Conceptos básicos
&& Señales, estímulos y sistemas
&& Modelos y simulaciones
&& Sensores, actuadores y transductores
&& Clasificaciones
& Características de los transductores 
&& Función de transferencia
&& Entrada y salida a escala completa
&& Exactitud y precisión
&& Repetibilidad y reproducibilidad
&& Histéresis y no linealidad
&& Saturación y banda muerta
&& Resolución
&& Impedancia de salida
&& Excitación
&& Características dinámicas 
&& Confiabilidad e incertidumbre
& Transductores térmicos
&& Bimetales
&& Termoresistivos
&& Termoeléctricos
&& Termomecánicos
&& Inductivos y microondas para calentamiento
& Transductores ópticos
&& Fotoconductores
&& Fotodiodos 
&& Fototransistores
&& Fotovoltaicos
&& Piroeléctricos y termopilas para radiación térmica
& Transductores eléctricos y magnéticos
&& Capacitivos
&& Inductivos
&& Efecto Hall
&& Magnetohidrodinámicos
&& Magnetoresistivos
&& Magnetrostrictivos
&& Magnetómetros
&& Piezoelectricos
&& Piezoresistivos
&& Voltaje, corriente y resistencia
&& Motores
&& Solenoides
& Transductores mecánicos
&& Galgas extensiometricas
&& Celdas de carga
&& Acelerómetros
&& Sensores de presión
&& Velocidad
&& Giroscopios
& Transductores acústicos
&& Micrófonos e hidrófonos
&& Parlantes
&& Ultrasónicos
& Transductores químicos
&& Electroquímicos
&& Potenciométricos
&& Termoquímicos
& Transductores de radiación
&& Ionizante
&& Microondas
& Transductores MEMS
&& Métodos de fabricación
&& Unidades de medición inercial (IMU)
&& Sensores de presión
&& Micrófonos 
&& Interruptores ópticos
& Interfaces de los transductores
&& Amplificadores operacionales
&& Amplificadores de potencia
&& PWMs para actuadores
&& Convertidores A/D y D/A
&& Puentes
&& Transmisión de datos
&& Excitadores
&& Ruido e interferencia
"
IFI0503,"
& Sistemas de adquisición de datos
&& Arquitectura básica
&& Transductores analógicos y digitales
&& Acondicionamiento de señales
&& A/D: muestreo, cuantización y codificación
&& D/A: decodificación y filtrado
&& Interfaz de transductores con DAQs y microcontroladores
& Instrumentos virtuales
&& Estructuras de datos
&& Estructuras de ejecución
&& Máquinas de estados
&& Guardado de archivos
&& Interfaces gráficas
&& Comunicación serial y USB
&& Control de instrumentos externos
& Simbología y metrología de instrumentación
&& Norma ISA 51
&& Calibración y trazabilidad
&& Verificación y validación
&& Propagación de incertidumbres
"
